# Auto-generated from IoTecha error registry (363 patterns)
# pattern	module	severity	description	troubleshootingSteps	onSiteServiceRequired
IMMEDIATE_BENDER_FAULT_1	HWPowerBoardStopCode	CRITICAL	A fault (leakage indicated by output #1 of IMD module) was detected by the IMD unit within 1s after closing relays	1. Restart charging session | 2. Use another EV/consumer | 3. Power Cycle Charging Station | 4. Check Bender unit connection to Power Board | 5. Check charging cable and socket | 6. Replace Bender unit | 7. Replace Power Board	yes
IMMEDIATE_BENDER_FAULT_2	HWPowerBoardStopCode	CRITICAL	A fault (leakage indicated by output #2 of IMD module) was detected by the IMD unit within 1s after closing relays	1. Restart charging session | 2. Use another EV/consumer | 3. Power Cycle Charging Station | 4. Check Bender unit connection to Power Board | 5. Check charging cable and socket | 6. Replace Bender unit | 7. Replace Power Board	yes
IDLE_CURRENT	HWPowerBoardStopCode	CRITICAL	Idle current	1. Inspect connections | 2. Power Cycle Charging Station | 3. Replace Power Board	yes
UNEXPECTED_MAIN_RELAY_ENABLE	HWPowerBoardStopCode	CRITICAL	Unexpected main relay enable	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
UNEXPECTED_AUX_RELAY_ENABLE	HWPowerBoardStopCode	CRITICAL	Unexpected aux relay enable	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
UNEXPECTED_FAULT_RESET	HWPowerBoardStopCode	CRITICAL	Unexpected fault reset	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board | 4. Replace Main AC board	yes
INVALID_PROXIMITY	HWPowerBoardStopCode	CRITICAL	Invalid proximity	1. Check/replace charging cable	yes
PHASE_2_MISSING	HWPowerBoardStopCode	CRITICAL	Phase 2 missing	1. Verify phase B grid status	yes
PHASE_3_MISSING	HWPowerBoardStopCode	CRITICAL	Phase 3 missing	1. Verify phase C grid status	yes
MAIN_RELAY1_STUCK_OPEN	HWPowerBoardStopCode	CRITICAL	Main relay 1 stuck open	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
MAIN_RELAY2_STUCK_OPEN	HWPowerBoardStopCode	CRITICAL	Main relay 2 stuck open	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
MAIN_RELAY1_STUCK_CLOSED	HWPowerBoardStopCode	CRITICAL	Main relay 1 stuck closed	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
MAIN_RELAY2_STUCK_CLOSED	HWPowerBoardStopCode	CRITICAL	Main relay 2 stuck closed	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
SOFT_OVERCURRENT	HWPowerBoardStopCode	CRITICAL	Soft overcurrent	1. Restart charging session | 2. Power Cycle Charging Station | 3. Use another EV/consumer	no
HOST_COMMAND_TIMEOUT	HWPowerBoardStopCode	CRITICAL	Host command timeout	Only if persists | 1. Replace cable from Power Board to Main AC | 2. Replace Power Board | 3. Replace Main AC	yes
MAIN_3_PHASE_MODE_NOT_AVAILABLE	HWPowerBoardStopCode	CRITICAL	Main 3 phase mode not available	1. Validate grid settings: | powerboard.onePhaseOverride in ihal/ihal.properties | ACCharging.phaseCountBasicRequest in ChargerApp/ChargerAppConfig.properties	no
INVALID_HARD_CURRENT_LIMIT	HWPowerBoardStopCode	CRITICAL	Invalid hard current limit	1. Validate Rotary Switch position	yes
POWER_FAILURE	HWPowerBoardStopCode	CRITICAL	Power failure	1. Validate grid state and connection	yes
BENDER_INIT_ERROR	HWPowerBoardStopCode	CRITICAL	Bender init error	1.  Power Cycle Charging Station | 2. Replace Bender	yes
BENDER_SELF_TEST_ERROR	HWPowerBoardStopCode	CRITICAL	Bender self test error	1.  Power Cycle Charging Station | 2. Replace Bender	yes
MAIN_RELAYS_STUCK_OPEN	HWPowerBoardStopCode	CRITICAL	Main relays stuck open	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
LOW_TEMP_FAULT_1	HWPowerBoardStopCode	CRITICAL	Low temperature fault 1	1. Verify environment conditions | 2. Replace Power Board	yes
LOW_TEMP_FAULT_2	HWPowerBoardStopCode	CRITICAL	Low temperature fault 2	1. Verify environment conditions | 2. Replace Power Board	yes
IMDBenderError	PowerBoardFault	LOW	An internal fault of the IMD unit is present	1. Power Cycle Charging Station | 2. Use another EV/consumer | 3. Check Bender unit connection to Power Board | 4. Replace Bender unit | 5. Replace Power Board	yes
IMDBenderDC1X6Fault	PowerBoardFault	LOW	A fault (leakage indicated by output #1 of IMD module) is present	1. Power Cycle Charging Station | 2. Use another EV/consumer | 3. Check Bender unit connection to Power Board | 4. Replace Bender unit | 5. Replace Power Board	yes
IMDBenderDC2X30Fault	PowerBoardFault	LOW	A fault (leakage indicated by output #2 of IMD module) is present	1. Power Cycle Charging Station | 2. Use another EV/consumer | 3. Check Bender unit connection to Power Board | 4. Replace Bender unit | 5. Replace Power Board	yes
CTBasedRCMFaultIndicator	PowerBoardFault	LOW	CT-based RCM fault indicator	1. Power Cycle Charging Station | 2. Replace Power Board	yes
MeterFault	PowerBoardFault	LOW	Meter fault	1. Power Cycle Charging Station | 2. Replace Power Board	yes
Undervoltage	PowerBoardFault	LOW	Undervoltage	1. Check/fix grid voltage | 2. Verify correct PB version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace PB	yes
Overvoltage	PowerBoardFault	LOW	Overvoltage	1. Check/fix grid voltage | 2. Verify correct Power Board version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
HardOvercurrent	PowerBoardFault	LOW	Hard overcurrent	1. Power Cycle charging station | 2. Use another EV/connect another consumer | 3. Check for short-circuits | 4. Replace Power Board	yes
SoftOvercurrent	PowerBoardFault	CRITICAL	Soft overcurrent	1. Restart charging session | 2. Power Cycle Charging Station | 3. Use another EV/consumer	no
IdleCurrent	PowerBoardFault	LOW	Idle current	1. Inspect connections | 2. Power Cycle Charging Station | 3. Replace Power Board	yes
HighGridFrequency	PowerBoardFault	LOW	High grid frequency	1. Check/fix grid frequency | 2. Verify correct Power Board version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
LowGridFrequency	PowerBoardFault	LOW	Low grid frequency	1. Check/fix grid frequency | 2. Verify correct PB version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
PhaseSequenceError	PowerBoardFault	LOW	Phase sequence error	1. Check/fix phases connection: make sure it follows grid layout | 2. Power Cycle Charging station | 3. Replace Power Board	yes
EarthFault	PowerBoardFault	LOW	Earth fault	1. Check/restore earth connection | 2. Power Cycle Charging station | 3. Replace Power Board	yes
FuseFault	PowerBoardFault	LOW	Fuse fault	1. Replace M2 line fuse | 2. Replace Power Board	yes
Overtemperature1	PowerBoardFault	LOW	Overtemperature1	1. Check/fix the cooling system | 2. Replace Power Board	yes
Overtemperature2	PowerBoardFault	LOW	Overtemperature2	1. Check/fix the cooling system | 2. Replace Power Board	yes
HostCommandTimeout	PowerBoardFault	LOW	Host command timeout	1. Replace cable from Power Board to Main AC | 2. Replace Power Board | 3. Replace Main AC	yes
PowerFailureWarning	PowerBoardFault	HIGH	Power Failure Warning	1. Verify grid status and connection	yes
PowerFailureFault	PowerBoardFault	CRITICAL	Power Failure Fault	1. Validate grid state and connection	yes
PhaseBLoss	PowerBoardFault	LOW	Phase B Loss	1. Verify phase B grid status	yes
PhaseCLoss	PowerBoardFault	LOW	Phase C Loss	1. Verify phase C grid status	yes
RotarySwitchInvalid	PowerBoardFault	CRITICAL	Current limit rotary switch is in incorrect position	1. Validate Rotary Switch position	yes
NotReadyRegistersMismatch	PowerBoardFault	LOW	Power Board is not ready to work. Registers mismatch.	1. Validate software version is correct	no
NotReady	PowerBoardFault	LOW	Power Board is not ready to work	1. Power Cycle Charging Station | 2. Replace Power Board	yes
VoltageWarning	PowerBoardFault	LOW	Under/Over voltage warning	1. Power Cycle Charging Station | 2. Replace Power Board	yes
PWMIsNotChanging	HWBaseHAL	LOW	PWM is not changing	1. Restart charging session | 2. Use another EV/consumer | 	no
EvicBlocked	HWBaseHAL	LOW	EVIC blocked condition detected	1. Restart charging session | 2. Use another EV/consumer | 3. Reboot charging station	no
Temperature1Error	CommonEVIC	CRITICAL	Temperature 1 error	1. Check/fix cooling system | 2. Replace Main AC board	yes
Temperature2Error	CommonEVIC	CRITICAL	Temperature 2 error	1. Check/fix cooling system | 2. Replace Main AC board	yes
InvalidFSMTransition	CommonEVIC	CRITICAL	Invalid FSM transition	1. Power Cycle Charging Station | 2. Replace Main AC board	yes
GlobalStop	CommonEVIC	LOW	Charging session stopped by error	1. Restart charging session | 2. Use another EV/consumer	no
CPNoDiode	CommonEVIC	CRITICAL	Control Pilot diode error	1. Restart charging session | 2. Use another charging cable | 3. Use another EV/consumer	no
Reboot	CommonEVIC	LOW	Unintended Evic reboot detected	1. Restart charging session | 2. Reboot charging station	no
CPStateE	CommonEVIC	CRITICAL	CP state E detected	1. Restart charging session | 2. Use another charging cable | 3. Use another EV/consumer	no
ERROR_STATE_RECOVER	InnerSM	LOW	Can not recover CP State	1. Restart charging session | 2. Reboot charging station	no
ERROR_SERVER_CREATE_FAILED	InnerSM	LOW	Problem creating server	1. Restart charging session | 2. Reboot charging station	no
ERROR_MESSAGE_IN_WRONG_STATE	InnerSM	LOW	Got event X in state Y but car is not in charging state!	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_EXI_ENCODING_FAILED	InnerSM	LOW	EXI encoding failed	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_PRECHARGE_VOLTAGE_RAISE_TIMEOUT	InnerSM	LOW	PreCharge took longer than timeoutPreChargeVoltageRaise_ms	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_NEGATIVE_CURRENT	InnerSM	LOW	[Current Demand] Negative Current Value	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_OVERLOAD	InnerSM	LOW	PreCharge Voltage_mV or/and Current_mA above max values	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_RESUMING_NOT_SUPPORTED	InnerSM	LOW	[V2G-DC-241] Resuming session is not supported in DIN	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_CANT_UNPAUSE	InnerSM	LOW	[LogicStateMachine] There is still some error can not unpause	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_RESTART_NOT_ALLOWED	InnerSM	LOW	[LogicStateMachine] In current state EV Restart is not allowed	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_NORMALIZATION_OF_NOT_RAISED_ERROR	InnerSM	LOW	ERROR_NORMALIZATION_OF_NOT_RAISED_ERROR	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_PWM_CONTROL	InnerSM	LOW	[LogicStateMachine] PWM value has passed all conditions	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_UNAVAILABLE	InnerSM	CRITICAL	State machine exit	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_NEGATIVE_VOLTAGE	InnerSM	LOW	[Current Demand] Negative Voltage Value	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_COMMUNICATION_BLOCKED	InnerSM	HIGH	Communication Blocked	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
STUCK_IN_UNDEFINED_LOGIC_STATE	InnerSM	HIGH	Stuck in the undefined logic state	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_UNAVAILABLE_STATE_F	InnerSM	CRITICAL	State F Unavailable	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_RESTART_NOT_ALLOWED_PWM_CONTROLLED_OUTSIDE	InnerSM	LOW	[LogicStateMachine] Not controlling PWM. Skipping EventCPEVCCRestart	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
ERROR_PWM_CONTROL_OUTSIDE_NOT_ALLOWED	InnerSM	LOW	[LogicStateMachine] SM is not configured to handle outer PWM Control	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
RequiredMeterNotFound	MeterListener	LOW	Required Meter not found	1. Verify preferred meter settings Meter.preferred.type Meter.preferred.disableChargingOnAbsence in ChargerApp/ChargerAppConfig.properties | 2. Reboot charging station | 3. Check/fix meter connection | 4. Check/replace meter |  | 	yes
RequiredMeterMissing	MeterListener	CRITICAL	Required Meter missing	1. Verify preferred meter settings Meter.preferred.type Meter.preferred.disableChargingOnAbsence in ChargerApp/ChargerAppConfig.properties | 2. Reboot charging station | 3. Check/fix meter connection | 4. Check/replace meter | 	yes
PreferredMeterMissing	MeterListener	LOW	Preferred Meter missing	1. Verify preferred meter settings Meter.preferred.type Meter.preferred.disableChargingOnAbsence in ChargerApp/ChargerAppConfig.properties | 2. Reboot charging station | 3. Check/fix meter connection | 4. Check/replace meter | 	yes
Error_V2G_TCP_ConnectionClosed	HLCStateMachine	HIGH	V2G connection closed	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_Wrong_ChargeParameters	HLCStateMachine	MEDIUM	V2G requested energy type is not supported or could not be found in list of energy types	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_SupportedSchemaNotFound	HLCStateMachine	HIGH	V2G Can not get schema to use	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_V2G_SessionSequenceError	HLCStateMachine	HIGH	V2G wrong sequence	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_PrechargeResTimeout	HLCStateMachine	HIGH	V2G PrechargeRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CurrentDemandResTimeout	HLCStateMachine	HIGH	V2G CurrentDemandRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_WeldingDetectionResTimeout	HLCStateMachine	HIGH	V2G WeldingDetectionRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CertificateInstallationReq_EmptyExi	HLCStateMachine	HIGH	V2G CertificateInstallationReq empty exi	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CertificateUpdateReq_EmptyExi	HLCStateMachine	HIGH	V2G CertificateUpdateReq empty exi	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CertificateUpdate_NoActivityTimeout	HLCStateMachine	HIGH	V2G CertificateUpdateRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CertificateInstallation_NoActivityTimeout	HLCStateMachine	HIGH	V2G CertificateInstallationRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_PreComVoltageCheck	HLCStateMachine	HIGH	V2G pre com voltage check failed	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CableCheck_NoActivityTimeout	HLCStateMachine	HIGH	V2G CableCheckRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_Precharge_NoActivityTimeout	HLCStateMachine	HIGH	V2G PrechargeRes timeout	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_Precharge_CarIsNotReadyForPowerDelivery	HLCStateMachine	HIGH	V2G energy transfer is not allowed during precharge	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_PowerDeliveryStartAC_CarIsNotReadyForPD	HLCStateMachine	HIGH	V2G energy transfer is not allowed during power delivery start(AC)	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_ReadyToCharge_CarIsNotReadyForPowerDelivery	HLCStateMachine	HIGH	V2G energy transfer is not allowed during V2GReadyToCharge state	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_CurrentDemand_CarIsNotReadyForPowerDelivery	HLCStateMachine	HIGH	V2G energy transfer is not allowed during V2GCurrentDemandMessaging state	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_DcBpt_SendPowerDeliveryReplyError	HLCStateMachine	HIGH	V2G Error during sending PowerDeliveryReplyResBpt	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Info_V2G_SessionStop	HLCStateMachine	HIGH	V2G session stop	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_PowerDeliveryStartTimeout	HLCStateMachine	HIGH	V2G PowerDeliveryRes timeout during PowerDelivery start phase	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_NoCurrentDemandRequest	HLCStateMachine	HIGH	V2G CurrentDemandReq has not been sent	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_DcBpt_SendCurrentDemandError	HLCStateMachine	HIGH	V2G Error during sending CurrentDemandResBpt	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_PowerDeliveryStopResTimeout	HLCStateMachine	HIGH	V2G PowerDeliveryRes timeout during PowerDelivery stop phase	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_V2G_Unknown	HLCStateMachine	HIGH	V2G unknown error	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	no
Error_EVNotObeyImposedLimit	PowerBoardHAL	MEDIUM	EV does not obey imposed limit	1. Restart charging session | 2. Use another EV/consumer	no
EARTH_RELAY_STUCK_OPEN	HWPowerBoardStopCode	CRITICAL	Earth relay stuck open	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
EARTH_RELAY_STUCK_CLOSED	HWPowerBoardStopCode	CRITICAL	Earth relay stuck closed	1. Power Cycle Charging Station | 2. Inspect Power Board and Main AC and verify there is no unexpected wires connected | 3. Replace Power Board	yes
OVERTEMPERATURE_3	HWPowerBoardStopCode	CRITICAL	Overtemperature 3	1. Check/fix the cooling system | 2. Replace Power Board	yes
LOW_TEMP_FAULT_3	HWPowerBoardStopCode	CRITICAL	Low temp fault 3	1. Verify environment conditions | 2. Replace Power Board	yes
RELAY_HOLD_VOLTAGE_FAULT	HWPowerBoardStopCode	CRITICAL	Relay hold voltage fault	1. Power Cycle Charging Station | 2. Replace Power Board	yes
RELAY_FULL_VOLTAGE_FAULT	HWPowerBoardStopCode	CRITICAL	Relay full voltage fault	1. Power Cycle Charging Station | 2. Replace Power Board	yes
CT_TEST_FAULT	HWPowerBoardStopCode	CRITICAL	CT test fault	1. Power Cycle Charging Station | 2. Replace Power Board	yes
VARIANT_SOCKET_FAULT	HWPowerBoardStopCode	CRITICAL	Socket variant selection fault	1. Verify operation variant jumper position | 2. Power Cycle Charging Station | 3. Replace Power Board"	yes
OVERTEMPERATURE_4	HWPowerBoardStopCode	CRITICAL	Overtemperature 4	1. Check/fix the cooling system | 2. Replace Power Board	yes
LOW_TEMP_FAULT_4	HWPowerBoardStopCode	CRITICAL	Low temperature fault 4	1. Verify environment conditions | 2. Replace Power Board	yes
NVM_DATA_FAULT	HWPowerBoardStopCode	CRITICAL	NVM data corrupted	1. Power Cycle Charging Session | 2. Replace Power Board	yes
ENERGY_MANAGER_POWER_IMBALANCE_DETECTED	EnergyManagerPowerBalance	MEDIUM	Phase power imbalance detected	No action is required	no
PEN_ERROR	HWPowerBoardStopCodeRu	MEDIUM	PEN error		no
PEN_FAULT	HWPowerBoardStopCodeRu	MEDIUM	PEN fault		no
NE_FAULT	HWPowerBoardStopCodeRu	MEDIUM	NE fault		no
Temperature1LessThanLowerLimit	PowerBoardFault	CRITICAL	Temperature 1 is less than the lower limit	1. Check/fix the heating system | 2. Replace Power Board	yes
Temperature2LessThanLowerLimit	PowerBoardFault	CRITICAL	Temperature 2 is less than the lower limit	1. Check/fix the heating system | 2. Replace Power Board	yes
UserButtonStuck	PowerBoardFaultRu	CRITICAL	User button is stuck		no
InvalidRTConfig	PowerBoardFaultRu	CRITICAL	Invalid RT Config packet received		no
PENFault	PowerBoardFaultRu	CRITICAL	PEN fault		no
NEFault	PowerBoardFaultRu	CRITICAL	N to E voltage fault		no
PENError	PowerBoardFaultRu	CRITICAL	PEN module error		no
InvalidPPStateInCPStateB	HWBaseHAL	CRITICAL	Invalid PP State in CP State B	1. Check/replace charging cable | 2. Power Cycle Charging station | 3. Replace Power Board	yes
WAIT_CABLE_UNPLUG_AFTER_IMD	HWSpecificHAL	CRITICAL	Wait cable unplug after IMD error	1. Unplug Cable | 2. Power Cycle Charging Session | 3. Replace Main board	yes
OCPP_CONNECTION_ERROR	ocpp-cmd	LOW	OCPP cannot connect to Central System	1. Check and fix OCPP Central System settings | 2. Check and fix network configuration and settings  | 3. Restart charging station | 4. Replace Main AC board	yes
EEBUS_LOST_CONNECTION	iotc-eebus-evcs	LOW	EEBus connection is lost	1. Check and fix CEM settings | 2. Check and fix network configuration and settings  | 3. Restart charging station | 4. Replace Main AC board	yes
ErrorStartingChargingOnInactiveConnector	PowerBoardHAL	MEDIUM	Internal HAL error. Socket priority issue.	1. Restart charging session | 2. Reboot charging station	no
CONTACTORS_ENABLE_SIGNAL_MISMATCH	PowerBoardHAL	CRITICAL	Relay enable signal mismatch	1. Check the cable between Main Board and Power Board | 2. Replace the cable | Replace Power Board	yes
HOST_COMMAND_FEEDBACK_MISMATCH	PowerBoardHAL	CRITICAL	Feedback from PB doesn't match commands	1. Power Cycle Charging Station | 2. Replace Power Board	yes
HOST_COMMAND_FEEDBACK_TIMEOUT	PowerBoardHAL	CRITICAL	No feedback from PB	1. Power Cycle Charging Station | 2. Replace Power Board	yes
LOCK_TEST_FAULT	HWPowerBoardStopCodeRu	CRITICAL	Socket lock self-test failure	1. Power cycle with 10 minutes pause (after power off) | 2. Check lock wiring | 3. Replace Power board	yes
EICHRECHT_ERROR_STATE_TERMINAL	Eichrecht	CRITICAL	Meter in error state		no
EICHRECHT_ERROR_STATE_UNAVAILABLE	Eichrecht	CRITICAL	Meter temporarily unavailable		no
EICHRECHT_ERROR_STATE_ORPHAN_SESSION	Eichrecht	MEDIUM	Orphan session found		no
CHARGING_CONFIRMATION_TIMEOUT	InnerSM	MEDIUM	Charging was not confirmed by confirmers. Timeout.	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	yes
CHARGING_CONFIRMATION_DECLINED	InnerSM	MEDIUM	Charging was declined by confirmers.	1. Restart charging session | 2. Reboot charging station | 3. Use another EV/consumer	yes
VAS_SERVER_RECEIVE_TIMEOUT	VASServer	MEDIUM	VAS server error 		no
